unknown	Unknown	Inconnu	Desconocido	Unbekannt	Tidak Diketahui	Sconosciuto	不明	알 수 없음	Tidak Diketahui	Onbekend	Desconhecido	ไม่ทราบ	Hindi Alam	Bilinmiyor	未知
next-game	NEXT GAME	MATCH SUIVANT	PRÓXIMO JUEGO	NÄCHSTES SPIEL	PERTANDINGAN BERIKUTNYA	PROSSIMA PARTITA	次の試合	다음 경기	PERLAWANAN SETERUSNYA	VOLGENDE WEDSTRIJD	PRÓXIMO JOGO	เกมถัดไป	SUSUNOD NA LARO	SONRAKİ OYUN	下一场
first-half	FIRST HALF	1ere PÉRIODE	1a MITAD	ERSTE HALBZEIT	BABAK PERTAMA	PRIMO TEMPO	前半	전반	SEPARUH PERTAMA	EERSTE HELFT	PRIMEIRO TEMPO	ครึ่งแรก	UNANG KALAHATI	İLK DEVRE	上半场
half-time	HALF TIME	MI-TEMPS	MEDIO TIEMPO	HALBZEITPAUSE	JEDA BABAK	INTERVALLO	ハーフタイム	하프타임	REHAT SEPARUH MASA	RUST	INTERVALO	พักครึ่ง	PAHINGA	DEVRE ARASI	中场休息
second-half	SECOND HALF	2eme PÉRIODE	SEGUNDA MITAD	ZWEITE HALBZEIT	BABAK KEDUA	SECONDO TEMPO	後半	후반	SEPARUH KEDUA	TWEEDE HELFT	SEGUNDO TEMPO	ครึ่งที่สอง	IKALAWANG KALAHATI	İKİNCİ DEVRE	下半场
pre-ot-break-full	PRE OVERTIME BREAK	PAUSE PRÉ PROLONGATIONS	DESCANSO PREVIO AL TIEMPO EXTRA	PAUSE VOR VERLÄNGERUNG	JEDA SEBELUM PERPANJANGAN WAKTU	PAUSA PRE SUPPLEMENTARI	延長前休憩	연장전 전 휴식	REHAT PRA-MASA TAMBAHAN	PAUZE VOOR VERLENGING	PAUSA PRÉ-PRORROGAÇÃO	พักก่อนต่อเวลาพิเศษ	PAHINGA BAGO OVERTIME	UZATMA ÖNCESİ ARA	加时前休息
overtime-first-half	OVERTIME FIRST HALF	1ere PROLONGATION	PRIMERA MITAD DEL TIEMPO EXTRA	ERSTE VERLÄNGERUNGSHÄLFTE	BABAK PERTAMA PERPANJANGAN WAKTU	PRIMO TEMPO SUPPLEMENTARE	延長前半	연장 전반	SEPARUH PERTAMA MASA TAMBAHAN	EERSTE VERLENGINGSTIJD	PRORROGAÇÃO PRIMEIRO TEMPO	ครึ่งแรกต่อเวลาพิเศษ	UNANG KALAHATI NG OT	UZATMA BİRİNCİ DEVRE	加时赛上半场
overtime-half-time	OVERTIME HALF TIME	MI-TEMPS PROLONGATION	MEDIO TIEMPO DEL TIEMPO EXTRA	VERLÄNGERUNGSPAUSE	JEDA PERPANJANGAN WAKTU	INTERVALLO SUPPLEMENTARE	延長ハーフタイム	연장 하프타임	REHAT SEPARUH MASA TAMBAHAN	RUST VERLENGING	INTERVALO PRORROGAÇÃO	พักครึ่งต่อเวลาพิเศษ	PAHINGA SA OVERTIME	UZATMA DEVRE ARASI	加时赛中场
overtime-second-half	OVERTIME SECOND HALF	2eme PROLONGATION	SEGUNDA MITAD DEL TIEMPO EXTRA	ZWEITE VERLÄNGERUNGSHÄLFTE	BABAK KEDUA PERPANJANGAN WAKTU	SECONDO TEMPO SUPPLEMENTARE	延長後半	연장 후반	SEPARUH KEDUA MASA TAMBAHAN	TWEEDE VERLENGINGSTIJD	PRORROGAÇÃO SEGUNDO TEMPO	ครึ่งที่สองต่อเวลาพิเศษ	IKALAWANG KALAHATI NG OT	UZATMA İKİNCİ DEVRE	加时赛下半场
pre-sudden-death-break	PRE SUDDEN DEATH BREAK	PAUSE PRÉ MORT SUBITE	DESCANSO PREVIO A MUERTE SÚBITA	PAUSE VOR PLÖTZLICHEM TOD	JEDA SEBELUM SUDDEN DEATH	PAUSA PRE MORTE IMPROVVISA	サドンデス前休憩	서든 데스 전 휴식	REHAT PRA-SUDDEN DEATH	PAUZE VOOR PLOTSELINGE DOOD	PAUSA PRÉ-MORTE SÚBITA	พักก่อนตายกะทันหัน	PAHINGA BAGO SUDDEN DEATH	ANİ ÖLÜM ÖNCESİ ARA	突然死亡前休息
sudden-death	SUDDEN DEATH	MORT SUBITE	MUERTE SÚBITA	PLÖTZLICHER TOD	SUDDEN DEATH	MORTE IMPROVVISA	サドンデス	서든 데스	SUDDEN DEATH	PLOTSELINGE DOOD	MORTE SÚBITA	ตายกะทันหัน	SUDDEN DEATH	ANİ ÖLÜM	突然死亡
ot-first-half	OT FIRST HALF	1ere PROL.	PRIMERA MITAD DEL TIEMPO EXTRA	VERL. ERSTE HZ	BABAK 1 PW	1° TEMPO SUPPL.	延長第1ハーフ	연장 1전반	SEPARUH 1 MASA TAMBAHAN	VERL EERSTE HELFT	PRORR 1.º TEMPO	ต่อเวลาครึ่ง 1	UNANG KALAHATI NG OT	UZAT BİRİNCİ DEVRE	加时上半场
ot-half-time	OT HALF TIME	M-T PROL.	MEDIO TIEMPO DEL TIEMPO EXTRA	VERL. PAUSE	JEDA PW	INT. SUPPL.	延長ハーフタイム	연장 하프타임	REHAT SEPARUH MASA TAMBAHAN	VERL RUST	PRORR INTERVALO	พักครึ่งต่อเวลา	PAHINGA SA OT	UZAT DEVRE ARASI	加时中场
ot-2nd-half	OT 2ND HALF	2eme PROL.	SEGUNDA MITAD DEL TIEMPO EXTRA	VERL. ZWEITE HZ	BABAK 2 PW	2° TEMPO SUPPL.	延長第2ハーフ	연장 2후반	SEPARUH 2 MASA TAMBAHAN	VERL TWEEDE HELFT	PRORR 2.º TEMPO	ต่อเวลาครึ่ง 2	IKALAWANG KALAHATI NG OT	UZAT İKİNCİ DEVRE	加时下半场
white-timeout-short	WHT T/O	T/M BLANC	T/M BLANCO	WEI AUS	T/O PTH	T/O BIA	白 T/O	흰 타임아웃	REHAT PTH	LCH T/O	BRA T/E	ขาว พทม.	PUTI T/O	BYZ M/A	白暂停
white-timeout-full	WHITE TIMEOUT	T/M BLANC	TIEMPO MUERTO BLANCO	AUSZEIT WEISS	TIME-OUT PUTIH	TIME-OUT BIANCHI	白チームタイムアウト	흰 팀 타임아웃	MASA REHAT PUTIH	TEAM TIME-OUT LICHT	TEMPO DE EQUIPA BRANCA	พักทีมขาว	TIMEOUT NG PUTI	BEYAZ MOLASI	白队暂停
black-timeout-short	BLK T/O	T/M NOIR	T/M NEGRO	SCH AUS	T/O HTM	T/O NER	黒 T/O	검정 타임아웃	REHAT HTM	DNK T/O	PRE T/E	ดำ พทม.	ITIM T/O	SYH M/A	黑暂停
black-timeout-full	BLACK TIMEOUT	T/M NOIR	TIEMPO MUERTO NEGRO	AUSZEIT SCHWARZ	TIME-OUT HITAM	TIME-OUT NERI	黒チームタイムアウト	검정 팀 타임아웃	MASA REHAT HITAM	TEAM TIME-OUT DONKER	TEMPO DE EQUIPA PRETA	พักทีมดำ	TIMEOUT NG ITIM	SİYAH MOLASI	黑队暂停
ref-timeout-short	REF TMOUT	T/M D'ARB.	T/M ÁRBITRO	SCHIRI AUS	T/O WASIT	T/O ARB	審判T/O	심판 타임아웃	REHAT PENGADIL	SR T/O	ARB T/E	ผตส. พัก	REF T/O	HKM MOLA	裁判暂停
penalty-shot-short	PNLTY SHT	TIR DE PÉN.	TIRO PENAL	STRAFSTOSS	TBK PEN	TIRO RIG.	PEN SHT	페널티 샷	TMBN PENALTI	STRAFSCHOT	TIRO PENAL	ยิงโทษ	PENALTY SHT	CZA ATŞ	罚球
team-warning-abreviation	T	É	A	T	T	S	警	팀	P	T	A	ท	K	T	队
zero	= 0	= 0	= 0	= 0	= 0	= 0	= 0	= 0	= 0	= 0	= 0	= 0	= 0	= 0	= 0
game-time	GAME TIME	TEMPS DE MATCH	TIEMPO DE JUEGO	SPIELZEIT	WAKTU PERTANDINGAN	TEMPO DI GIOCO	試合時間	경기 시간	MASA PERLAWANAN	WEDSTRIJDTIJD	TEMPO DE JOGO	เวลาเกม	ORAS NG LARO	OYUN SAATİ	比赛时间
timeout	TIMEOUT	TEMPS MORT (T/M)	TIEMPO MUERTO	AUSZEIT	TIME-OUT	TIME-OUT	タイムアウト	타임아웃	MASA REHAT	TIME-OUT	TEMPO DE EQUIPA	พักทีม	TIMEOUT	MOLA	暂停
Note-Game-time-is-paused	Note: Game time is paused while on this screen	Note: Le temps de match est en pause sur cet écran	Nota: El tiempo de juego está pausado mientras está en esta pantalla	Hinweis: Die Spielzeit ist auf diesem Bildschirm pausiert	Catatan: Waktu pertandingan dijeda saat berada di layar ini	Nota: Il tempo di gioco è in pausa su questa schermata	注意: この画面中は試合時間が一時停止されています	참고: 이 화면에 있는 동안 경기 시간이 일시 정지됩니다	Nota: Masa perlawanan dijeda semasa berada di skrin ini	Opmerking: De wedstrijdtijd is gepauzeerd op dit scherm	Nota: O tempo de jogo está pausado neste ecrã	หมายเหตุ: เวลาเกมหยุดชั่วคราวขณะอยู่ในหน้านี้	Tandaan: Ang oras ng laro ay nakaka-pause habang nasa screen na ito	Not: Bu ekrandayken oyun saati duraklatılmıştır	注意：在此界面时比赛时间已暂停
fouls	FOULS	FAUTES	FALTAS	FOULS	PELANGGARAN	FALLI	反則	반칙	KESALAHAN	OVERTREDINGEN	FALTAS	ฟาวล์	MGA POUL	FAULLER	犯规
edit-warnings	EDIT WARNINGS	ÉDITER LES AVERTISSEMENTS	EDITAR AVISO	VERWARNUNGEN BEARBEITEN	EDIT PERINGATAN	MODIFICA AMMONIZIONI	警告を編集	경고 편집	EDIT AMARAN	WAARSCHUWINGEN BEWERKEN	EDITAR AVISOS	แก้ไขการเตือน	I-EDIT ANG MGA BABALA	UYARILARI DÜZENLE	编辑警告
edit-fouls	EDIT FOULS	ÉDITER LES FAUTES	EDITAR FALTAS	FOULS BEARBEITEN	EDIT PELANGGARAN	MODIFICA FALLI	反則を編集	반칙 편집	EDIT KESALAHAN	OVERTREDINGEN BEWERKEN	EDITAR FALTAS	แก้ไขฟาวล์	I-EDIT ANG MGA POUL	FAULLERİ DÜZENLE	编辑犯规
black-warnings	BLACK WARNINGS	AVERTISSEMENTS NOIR	AVISOS E. NEGRO	VERWARNUNGEN SCHWARZ	PERINGATAN HITAM	AMMONIZIONI NERI	黒チーム警告	검정 팀 경고	AMARAN HITAM	WAARSCHUWINGEN DONKER	AVISOS PRETA	การเตือนทีมดำ	MGA BABALA NG ITIM	SİYAH UYARILARI	黑队警告
white-warnings	WHITE WARNINGS	AVERTISSEMENTS BLANC	AVISOS E. BLANCO	VERWARNUNGEN WEISS	PERINGATAN PUTIH	AMMONIZIONI BIANCHI	白チーム警告	흰 팀 경고	AMARAN PUTIH	WAARSCHUWINGEN LICHT	AVISOS BRANCA	การเตือนทีมขาว	MGA BABALA NG PUTI	BEYAZ UYARILARI	白队警告
player-number	PLAYER NUMBER:	NUMÉRO DU JOUEUR:	NÚMERO DE JUGADOR:	SPIELER- NUMMER:	NOMOR PEMAIN:	NUMERO GIOCATORE:	選手 番号:	선수 번호:	NOMBOR PEMAIN:	SPELER- NUMMER:	NÚMERO DA TOUCA:	หมายเลข ผู้เล่น:	NUMERO NG MANLALARO:	OYUNCU NUMARASI:	球员 号码：
game-number	GAME NUMBER:	NUMÉRO DU MATCH:	NÚMERO DE JUEGO:	SPIEL- NUMMER:	NOMOR PERTANDINGAN:	NUMERO PARTITA:	試合 番号:	경기 번호:	NOMBOR PERLAWANAN:	WEDSTRIJD- NUMMER:	NÚMERO DO JOGO:	หมายเลข เกม:	NUMERO NG LARO:	OYUN NUMARASI:	比赛 编号：
num-tos-per-half	NUM OF TEAM T/Os PER HALF:	NOMBRE DE TEMPS MORTS PAR MI-TEMPS:	NÚMERO DE T/Ms POR MITAD:	AUSZEITEN PRO HALBZEIT:	JUMLAH TIME-OUT TIM PER BABAK:	N. TIME-OUT PER TEMPO:	ハーフあたりの チームT/O数:	전반당 팀 타임아웃 수:	BIL. MASA REHAT PASUKAN/SEPARUH:	AANTAL T/O'S PER HELFT:	N.º T/E POR TEMPO:	จำนวนพักทีม ต่อครึ่ง:	BILANG NG TEAM T/Os BAWAT KALAHATI:	DEVRE BAŞINA TAKIM MOLASI:	每半场队伍 暂停次数：
num-tos-per-game	NUM OF TEAM T/Os PER GAME:	NOMBRE DE TEMPS MORTS PAR MATCH:	NÚMERO DE T/Ms POR JUEGO:	AUSZEITEN PRO SPIEL:	JUMLAH TIME-OUT TIM PER PERTANDINGAN:	N. TIME-OUT PER PARTITA:	試合あたりの チームT/O数:	경기당 팀 타임아웃 수:	BIL. MASA REHAT PASUKAN/PERLAWANAN:	AANTAL T/O'S PER WEDSTRIJD:	N.º T/E POR JOGO:	จำนวนพักทีม ต่อเกม:	BILANG NG TEAM T/Os BAWAT LARO:	OYUN BAŞINA TAKIM MOLASI:	每场队伍 暂停次数：
off	OFF	ÉTEINT	NO	AUS	MATI	OFF	オフ	끄기	MATI	UIT	DESLIGADO	ปิด	PATAY	KAPALI	关
max	MAX	MAX	MÁX	MAX	MAKS	MAX	最大	최대	MAKSIMUM	MAX	MÁX	สูงสุด	MAX	MAKS	最大
hockey6v6	HOCKEY6V6	Hockey6V6	HOCKEY 6vs6	HOCKEY6G6	HOKI6V6	HOCKEY6V6	ホッケー6対6	하키 6대6	HOKI 6LWN6	HOCKEY6V6	HÓQUEI 6C6	ฮอกกี้ 6ต่อ6	HOCKEY6V6	HOKEY6V6	六对六水下曲棍球
hockey3v3	HOCKEY3V3	Hockey3V3	HOCKEY 3vs3	HOCKEY3G3	HOKI3V3	HOCKEY3V3	ホッケー3対3	하키 3대3	HOKI 3LWN3	HOCKEY3V3	HÓQUEI 3C3	ฮอกกี้ 3ต่อ3	HOCKEY3V3	HOKEY3V3	三对三水下曲棍球
rugby	RUGBY	Rugby	RUGBY	RUGBY	RUGBY	RUGBY	ラグビー	럭비	RAGBI	RUGBY	RÂGUEBI	รักบี้	RUGBY	RAGBİ	橄榄球
stick-foul	Stick Foul	Faute de crosse	Infracción con el palo	Schläger-Foul	Pelanggaran Stik	Fallo di Mazzetta	スティック反則	스틱 반칙	Kesalahan Kayu	Stokfout	Falta de Taco	ฟาวล์ด้วยไม้	Poul sa Stick	Sopa Faulü	球棍犯规
illegal-advance	Illegal Advance	Faire avancer le palet	Uso de la mano libre	Regelwidriges Vorrücken	Maju Ilegal	Avanzamento Illegale	違反前進	불법 전진	Kemajuan Haram	Onrechtmatig Voortbewegen	Avanço Ilegal	การรุกผิดกติกา	Iligal na Pag-abante	Kural Dışı İlerleme	非法推进
sub-foul	Sub Foul	Changement incorrect	Substitución ilegal	Auswechsel-Foul	Pelanggaran Pergantian Pemain	Fallo di Sostituzione	交代反則	교체 반칙	Kesalahan Pertukaran Pemain	Wisselfout	Falta de Substituição	ฟาวล์การเปลี่ยนตัว	Poul sa Pagpapalit	Oyuncu Değişikliği Faulü	换人犯规
illegal-stoppage	Illegal Stoppage	Arrêt irrégulier	Parada ilegal	Regelwidrige Spielunterbrechung	Penghentian Ilegal	Arresto Irregolare	違反停止	불법 정지	Hentian Haram	Onrechtmatige Onderbreking	Paragem Ilegal	การหยุดเล่นผิดกติกา	Iligal na Paghinto	Kural Dışı Durdurma	非法停球
out-of-bounds	Out Of Bounds	Palet sorti	Pastilla fuera	Außerhalb des Spielfeldes	Di Luar Batas	Fuori dal Campo	コート外	경계 밖	Di Luar Sempadan	Buiten het Speelveld	Fora dos Limites	นอกสนาม	Labas ng Hangganan	Oyun Alanı Dışı	出界
grabbing-the-wall	Grabbing The Wall	Agripper avec les barrières	agarrarse con barreras	Festhalten am Beckenrand	Memegang Dinding	Aggrapparsi alla Parete	壁つかみ	벽 잡기	Memegang Dinding	Vasthouden aan de Wand	Agarrar a Parede	การจับผนัง	Pagkapit sa Dingding	Duvardan Tutunma	抓墙
obstruction	Obstruction	Obstruction	Obstruir	Behinderung	Penghalangan	Ostruzione	妨害	방해	Halangan	Obstructie	Obstrução	การขัดขวาง	Hadlang	Engelleme	阻挡
delay-of-game	Delay Of Game	Faute pour ralentir le jeu	Quemar tiempo	Spielverzögerung	Mengulur Waktu	Perdita di Tempo	遅延行為	경기 지연	Melengahkan Permainan	Vertraging van het Spel	Atraso de Jogo	การประวิงเวลา	Pagkaantala ng Laro	Oyunu Geciktirme	延误比赛
unsportsmanlike	Unsportsmanlike	Conduite anti sportive	Conducta antideportiva	Unsportliches Verhalten	Perilaku Tidak Sportif	Comportamento Antisportivo	非紳士的行為	비신사적 행위	Kelakuan Tidak Bersukan	Onsportief Gedrag	Conduta Anti-Desportiva	การประพฤติผิดน้ำใจนักกีฬา	Hindi Sportsmanlike	Sportmenlik Dışı Davranış	不体育行为
free-arm	Free Arm	Usage irrégulier du bras libre	Uso ilegal del brazo libre	Freier Arm	Lengan Bebas	Braccio Libero	フリーハンド反則	자유 팔 반칙	Lengan Bebas	Vrije Arm	Braço Livre	แขนอิสระ	Libreng Braso	Serbest Kol	自由臂犯规
false-start	False Start	Faux départs	Saque nulo	Fehlstart	Start Curang	Falsa Partenza	不正スタート	부정 출발	Permulaan Palsu	Vals Vertrek	Saída Falsa	การออกตัวผิด	Maling Simula	Hatalı Başlangıç	抢跑
portal-summary-title	{1} PORTAL STATUS	STATUT {1} PORTAL	ESTADO DE {1} PORTAL	{1} PORTAL STATUS	{1} PORTAL STATUS	{1} PORTAL STATUS	{1} PORTAL STATUS	{1} PORTAL STATUS	{1} PORTAL STATUS	{1} PORTAL STATUS	{1} PORTAL STATUS	{1} PORTAL STATUS	{1} PORTAL STATUS	{1} PORTAL STATUS	{1} PORTAL STATUS
portal-row-token-expired	Portal login expired — tap to re-login	Session du portail expirée — touchez pour vous reconnecter	Sesión del portal expirada — toca para iniciar sesión	Portal login expired — tap to re-login	Portal login expired — tap to re-login	Portal login expired — tap to re-login	Portal login expired — tap to re-login	Portal login expired — tap to re-login	Portal login expired — tap to re-login	Portal login expired — tap to re-login	Portal login expired — tap to re-login	Portal login expired — tap to re-login	Portal login expired — tap to re-login	Portal login expired — tap to re-login	Portal login expired — tap to re-login
portal-row-stuck	Game {1} Score send error, tap to fix	Match {1} · Erreur d'envoi du résultat, touchez pour corriger	Juego {1} · Error al enviar resultado, toca para corregir	Game {1} Score send error, tap to fix	Game {1} Score send error, tap to fix	Game {1} Score send error, tap to fix	Game {1} Score send error, tap to fix	Game {1} Score send error, tap to fix	Game {1} Score send error, tap to fix	Game {1} Score send error, tap to fix	Game {1} Score send error, tap to fix	Game {1} Score send error, tap to fix	Game {1} Score send error, tap to fix	Game {1} Score send error, tap to fix	Game {1} Score send error, tap to fix
portal-row-pending	Game {1} Score not sent, tap to retry	Match {1} · Résultat non envoyé, touchez pour réessayer	Juego {1} · Resultado no enviado, toca para reintentar	Game {1} Score not sent, tap to retry	Game {1} Score not sent, tap to retry	Game {1} Score not sent, tap to retry	Game {1} Score not sent, tap to retry	Game {1} Score not sent, tap to retry	Game {1} Score not sent, tap to retry	Game {1} Score not sent, tap to retry	Game {1} Score not sent, tap to retry	Game {1} Score not sent, tap to retry	Game {1} Score not sent, tap to retry	Game {1} Score not sent, tap to retry	Game {1} Score not sent, tap to retry
portal-row-attempt-suffix	(attempt {1})														
portal-row-recent	Game {1} · Submitted {2} min ago	Match {1} · Envoyé il y a {2} min	Juego {1} · Enviado hace {2} min	Game {1} · Submitted {2} min ago	Game {1} · Submitted {2} min ago	Game {1} · Submitted {2} min ago	Game {1} · Submitted {2} min ago	Game {1} · Submitted {2} min ago	Game {1} · Submitted {2} min ago	Game {1} · Submitted {2} min ago	Game {1} · Submitted {2} min ago	Game {1} · Submitted {2} min ago	Game {1} · Submitted {2} min ago	Game {1} · Submitted {2} min ago	Game {1} · Submitted {2} min ago
portal-action-force-submit	Retry this game result	Réessayer ce résultat	Reintentar este resultado	Retry this game result	Retry this game result	Retry this game result	Retry this game result	Retry this game result	Retry this game result	Retry this game result	Retry this game result	Retry this game result	Retry this game result	Retry this game result	Retry this game result
portal-action-discard	Discard this game result	Supprimer ce résultat	Descartar este resultado	Discard this game result	Discard this game result	Discard this game result	Discard this game result	Discard this game result	Discard this game result	Discard this game result	Discard this game result	Discard this game result	Discard this game result	Discard this game result	Discard this game result
portal-action-discard-confirm	TAP AGAIN TO CONFIRM DISCARD	TOUCHEZ À NOUVEAU POUR CONFIRMER LA SUPPRESSION	TOCA DE NUEVO PARA CONFIRMAR DESCARTE	TAP AGAIN TO CONFIRM DISCARD	TAP AGAIN TO CONFIRM DISCARD	TAP AGAIN TO CONFIRM DISCARD	TAP AGAIN TO CONFIRM DISCARD	TAP AGAIN TO CONFIRM DISCARD	TAP AGAIN TO CONFIRM DISCARD	TAP AGAIN TO CONFIRM DISCARD	TAP AGAIN TO CONFIRM DISCARD	TAP AGAIN TO CONFIRM DISCARD	TAP AGAIN TO CONFIRM DISCARD	TAP AGAIN TO CONFIRM DISCARD	TAP AGAIN TO CONFIRM DISCARD
portal-page-title-attention	Game {1} submission error	Match {1} · Erreur d'envoi	Juego {1} · Error de envío	Game {1} submission error	Game {1} submission error	Game {1} submission error	Game {1} submission error	Game {1} submission error	Game {1} submission error	Game {1} submission error	Game {1} submission error	Game {1} submission error	Game {1} submission error	Game {1} submission error	Game {1} submission error
portal-page-attention-info	The game result has not been accepted on {1} Portal	Le résultat du match n.a pas été accepté par {1} Portal	El resultado del juego no ha sido aceptado por {1} Portal	The game result has not been accepted on {1} Portal	The game result has not been accepted on {1} Portal	The game result has not been accepted on {1} Portal	The game result has not been accepted on {1} Portal	The game result has not been accepted on {1} Portal	The game result has not been accepted on {1} Portal	The game result has not been accepted on {1} Portal	The game result has not been accepted on {1} Portal	The game result has not been accepted on {1} Portal	The game result has not been accepted on {1} Portal	The game result has not been accepted on {1} Portal	The game result has not been accepted on {1} Portal
portal-page-attention-score	Stored game result: Light {1} - Dark {2}	Résultat stocké : Clair {1} - Foncé {2}	Resultado almacenado: Claro {1} - Oscuro {2}	Stored game result: Light {1} - Dark {2}	Stored game result: Light {1} - Dark {2}	Stored game result: Light {1} - Dark {2}	Stored game result: Light {1} - Dark {2}	Stored game result: Light {1} - Dark {2}	Stored game result: Light {1} - Dark {2}	Stored game result: Light {1} - Dark {2}	Stored game result: Light {1} - Dark {2}	Stored game result: Light {1} - Dark {2}	Stored game result: Light {1} - Dark {2}	Stored game result: Light {1} - Dark {2}	Stored game result: Light {1} - Dark {2}
portal-page-attention-remediation	You can Retry if connection is verified, or discard to clear the error	Vous pouvez Réessayer si la connexion est vérifiée, ou supprimer pour effacer l'erreur	Puedes Reintentar si la conexión está verificada, o descartar para borrar el error	You can Retry if connection is verified, or discard to clear the error	You can Retry if connection is verified, or discard to clear the error	You can Retry if connection is verified, or discard to clear the error	You can Retry if connection is verified, or discard to clear the error	You can Retry if connection is verified, or discard to clear the error	You can Retry if connection is verified, or discard to clear the error	You can Retry if connection is verified, or discard to clear the error	You can Retry if connection is verified, or discard to clear the error	You can Retry if connection is verified, or discard to clear the error	You can Retry if connection is verified, or discard to clear the error	You can Retry if connection is verified, or discard to clear the error	You can Retry if connection is verified, or discard to clear the error
portal-advisory-at-game-end	Portal issue detected. Score will still be queued — find an admin to resolve.	Problème du portail détecté. Le résultat sera tout de même mis en file d'attente — trouvez un administrateur pour le résoudre.	Problema del portal detectado. El resultado se encolará igualmente — busca a un administrador para resolverlo.	Portal issue detected. Score will still be queued — find an admin to resolve.	Portal issue detected. Score will still be queued — find an admin to resolve.	Portal issue detected. Score will still be queued — find an admin to resolve.	Portal issue detected. Score will still be queued — find an admin to resolve.	Portal issue detected. Score will still be queued — find an admin to resolve.	Portal issue detected. Score will still be queued — find an admin to resolve.	Portal issue detected. Score will still be queued — find an admin to resolve.	Portal issue detected. Score will still be queued — find an admin to resolve.	Portal issue detected. Score will still be queued — find an admin to resolve.	Portal issue detected. Score will still be queued — find an admin to resolve.	Portal issue detected. Score will still be queued — find an admin to resolve.	Portal issue detected. Score will still be queued — find an admin to resolve.
